"row","col","rowf","colf","meanabsdiff"
32,1,106,372,0.53995328656874
33,1,107,375,0.522042339135215
34,1,107,373,0.547867919262791
35,1,107,372,0.530573727239905
36,1,107,370,0.557571211244007
37,1,108,375,0.612927739408004
38,1,108,371,0.626178228168587
39,1,108,372,0.663430772651552
40,1,109,368,0.661387324790888
41,1,109,371,0.686417998651767
42,1,112,273,0.676685482045119
43,1,109,368,0.655212916795288
44,1,108,369,0.619366214828758
45,1,108,372,0.655266596925612
46,1,103,74,0.665026599824116
47,1,98,78,0.573208312921707
32,2,89,292,0.511963110319607
33,2,101,360,0.533415575010822
34,2,107,373,0.539838194306192
35,2,107,372,0.522204545405523
36,2,107,370,0.544788941371711
37,2,108,369,0.615915024093308
38,2,108,371,0.599703729506354
39,2,108,372,0.636576162208437
40,2,109,368,0.64274133512487
41,2,109,371,0.673575265827811
42,2,112,273,0.673734415763336
43,2,109,368,0.660711117190216
44,2,108,369,0.631323690647438
45,2,108,372,0.679430584466478
46,2,104,73,0.673160808872802
47,2,99,77,0.574086137841509
32,3,89,293,0.501678558752383
33,3,90,295,0.52778565971015
34,3,107,373,0.574920564588244
35,3,107,372,0.552622741928899
36,3,107,370,0.567986104126376
37,3,109,367,0.630127826743933
38,3,108,369,0.596701201676906
39,3,108,373,0.630923405326058
40,3,106,370,0.638449802698265
41,3,105,262,0.636963464910031
42,3,75,106,0.722858195279905
43,3,100,261,0.655950270481343
44,3,108,372,0.647671944683135
45,3,108,371,0.633868324819036
46,3,95,85,0.732254800080837
47,3,99,77,0.613390199717843
48,3,73,113,0.606514373166815
32,4,87,293,0.5301403020689
33,4,89,292,0.498532536641465
34,4,90,294,0.545668954333294
35,4,107,373,0.563640357395325
36,4,107,372,0.548554272926291
37,4,107,370,0.567644149720357
38,4,108,369,0.62151652422667
39,4,108,371,0.601224764812263
40,4,108,372,0.627000067579393
41,4,110,367,0.668071230460628
42,4,100,261,0.657535112174602
43,4,75,106,0.714787064547314
44,4,75,106,0.709715914185343
45,4,106,370,0.671411321300487
46,4,80,104,0.803228608309494
47,4,95,84,0.668873438161081
48,4,98,78,0.603839120814938
32,5,57,282,0.552135348860922
33,5,89,293,0.489528715756135
34,5,91,297,0.527650080842289
35,5,91,296,0.545557929250374
36,5,107,372,0.576411251164648
37,5,107,370,0.591604086325015
38,5,109,367,0.637199304740466
39,5,108,369,0.607564175940309
40,5,109,365,0.608729781571899
41,5,106,370,0.640765004216272
42,5,105,262,0.635807068560136
43,5,77,106,0.725327199832723
44,5,108,260,0.645508003734169
45,5,112,273,0.701584471874004
46,5,117,270,0.724474575631906
47,5,87,100,0.713622050010721
48,5,73,113,0.665726009755026
32,6,55,237,0.520367514358973
33,6,87,294,0.502999312965034
34,6,89,291,0.500919958018092
35,6,91,296,0.553255807583661
36,6,90,291,0.559225886779306
37,6,109,366,0.622860709285237
38,6,109,367,0.651068490129907
39,6,108,366,0.624536719413744
40,6,109,370,0.642617170723321
41,6,108,372,0.630700374939471
42,6,110,367,0.655148978424738
43,6,100,261,0.668270385036502
44,6,108,260,0.634458327418223
45,6,75,106,0.723850594848446
46,6,117,270,0.709359750531315
47,6,75,112,0.714549482222419
48,6,73,112,0.662501761384867
49,6,122,60,0.650399329566623
32,7,47,322,0.485619060073639
33,7,87,294,0.519156354052026
34,7,90,296,0.507595319315193
35,7,89,290,0.516465580692258
36,7,90,290,0.532249511016393
37,7,91,295,0.58306409126801
38,7,107,370,0.608280239471382
39,7,108,366,0.637468469829459
40,7,109,369,0.63328292706874
41,7,108,365,0.641714230798718
42,7,109,368,0.631055322950007
43,7,108,259,0.635321460011534
44,7,108,260,0.636688563128832
45,7,108,260,0.635795669405872
46,7,108,260,0.659568031004794
47,7,75,111,0.769232775320349
48,7,103,73,0.666742786270994
49,7,73,112,0.680777995623843
50,7,119,61,0.678004903443821
33,8,57,282,0.537652248196161
34,8,89,292,0.492579491766752
35,8,90,294,0.505816183123497
36,8,90,292,0.53152887201226
37,8,91,295,0.581036463998791
38,8,90,289,0.600571149889295
39,8,52,282,0.589171067665593
40,8,108,366,0.620099900530271
41,8,109,365,0.605404332212545
42,8,109,368,0.639604996802711
43,8,110,370,0.660845097779812
44,8,121,270,0.664186054665797
45,8,108,260,0.613254427036066
46,8,108,260,0.621560723785747
47,8,75,106,0.730916301367795
48,8,77,106,0.766202876621932
49,8,99,77,0.658836599669531
50,8,87,101,0.673768259384661
51,8,103,278,0.663099320729574
33,9,77,288,0.529111424540974
34,9,86,295,0.491659484733462
35,9,90,294,0.517484902170524
36,9,90,292,0.536226014525062
37,9,91,295,0.582384413075073
38,9,90,289,0.596596059998917
39,9,52,282,0.578834637463821
40,9,108,366,0.629042111891102
41,9,109,365,0.610180493383091
42,9,108,365,0.624221198346602
43,9,110,370,0.666624072376138
44,9,100,261,0.666280363409099
45,9,108,260,0.594836373936651
46,9,108,260,0.592678581107973
47,9,108,260,0.617424044933619
48,9,117,270,0.689841377714334
49,9,95,85,0.72847549836257
50,9,99,77,0.638645165628164
51,9,98,77,0.61875803632886
33,10,47,322,0.484469708930343
34,10,87,294,0.482635520515642
35,10,90,294,0.524304175168848
36,10,90,292,0.532375755193554
37,10,91,295,0.571796850717089
38,10,88,288,0.585235694399263
39,10,52,282,0.56831025669504
40,10,110,365,0.655250697776701
41,10,109,365,0.614423997156699
42,10,109,364,0.625196441430696
43,10,110,370,0.669997774743285
44,10,100,261,0.678876501436217
45,10,108,260,0.580437825737199
46,10,108,260,0.574741861832704
47,10,108,260,0.587919746685195
48,10,77,106,0.746655459512175
49,10,75,111,0.76717994009221
50,10,99,77,0.624874558041025
51,10,98,77,0.600644665363571
52,10,103,277,0.66192303036728
33,11,46,323,0.470153022436571
34,11,87,294,0.50546166651328
35,11,90,294,0.528116215461212
36,11,90,292,0.522881641271435
37,11,91,295,0.557644574929282
38,11,90,289,0.569600900263895
39,11,52,282,0.562676763118458
40,11,91,291,0.575821974473058
41,11,52,283,0.593353018669142
42,11,109,364,0.626670114657018
43,11,110,370,0.676990507119197
44,11,97,262,0.691339541979485
45,11,108,260,0.573470591999473
46,11,108,260,0.559257194925145
47,11,108,260,0.568951295183591
48,11,108,260,0.609504877376723
49,11,121,269,0.644032722243464
50,11,104,73,0.698868720319259
51,11,99,77,0.624974503109384
52,11,98,77,0.644419208247
33,12,53,237,0.450393736258435
34,12,57,282,0.542650717007968
35,12,90,295,0.506028181678546
36,12,90,292,0.541506996454369
37,12,53,283,0.57701262662132
38,12,88,288,0.575134656982688
39,12,52,282,0.561056032563587
40,12,91,291,0.570203525483296
41,12,52,283,0.58688919614955
42,12,87,262,0.602218764489858
43,12,110,363,0.645118708052976
44,12,97,262,0.682886851978136
45,12,108,260,0.578442738900842
46,12,108,260,0.561257206082968
47,12,108,260,0.559695133322405
48,12,108,260,0.578482121073139
49,12,108,260,0.627976911771152
50,12,117,270,0.653172475422032
51,12,104,73,0.679111103487264
52,12,99,77,0.641370442774908
53,12,99,77,0.653537266916005
54,12,87,101,0.747522751074187
69,12,68,14,0.625106484228404
33,13,51,276,0.485926920206759
34,13,76,286,0.516298253540385
35,13,89,292,0.49385871887207
36,13,91,296,0.520336188903862
37,13,89,288,0.571177621994551
38,13,90,289,0.574735111383035
39,13,52,282,0.55114321575531
40,13,91,291,0.569102807902125
41,13,87,260,0.605361570321661
42,13,88,261,0.592907584441686
43,13,110,367,0.63053267771869
44,13,93,258,0.646972089288122
45,13,108,260,0.587657161948985
46,13,108,260,0.568158328221106
47,13,108,260,0.561027365163567
48,13,108,260,0.563451128771584
49,13,108,260,0.572127544193368
50,13,108,260,0.595874821578021
51,13,109,372,0.684781034329799
52,13,95,85,0.727972865146284
53,13,104,73,0.654725022257727
54,13,99,77,0.611152656581805
55,13,119,62,0.676633729485317
65,13,65,13,1.05703031929376
66,13,65,13,0.902980013293121
67,13,66,14,0.748607099409919
68,13,67,14,0.750580165773162
69,13,68,14,0.707536209399371
27,14,43,324,0.31204483038884
28,14,45,320,0.342837710072649
29,14,43,323,0.357505007147997
30,14,45,305,0.388571198365243
31,14,45,322,0.407402223650282
32,14,47,320,0.446278861347085
33,14,51,237,0.442984404655443
34,14,46,323,0.462617708126288
35,14,87,294,0.484618344897791
36,14,89,290,0.519242026377307
37,14,89,288,0.578252019932133
38,14,90,289,0.576300149022181
39,14,52,282,0.552672842118961
40,14,91,290,0.559120694172112
41,14,91,293,0.566911145404995
42,14,88,261,0.599438659391686
43,14,89,263,0.616917808808997
44,14,92,293,0.618157229997725
45,14,108,260,0.608137461693915
46,14,108,260,0.582234036693606
47,14,108,260,0.570530336023833
48,14,108,260,0.56193365776102
49,14,108,260,0.559968493662996
50,14,110,371,0.667076259133703
51,14,116,275,0.61086952998376
52,14,104,73,0.66918850419409
53,14,104,73,0.66491603368656
54,14,99,77,0.614758433596626
55,14,98,77,0.639321537417267
64,14,64,14,1.09875789495871
65,14,65,14,1.06360741826668
66,14,66,14,1.03025333469451
67,14,66,14,0.751122695030758
68,14,67,14,0.816729809892531
27,15,44,319,0.308851248306754
28,15,44,327,0.300747489263458
29,15,45,320,0.353004718367758
30,15,44,322,0.365300537154313
31,15,46,315,0.386341639297379
32,15,46,316,0.414132454923726
33,15,53,238,0.401791732764785
34,15,55,240,0.455362621027762
35,15,77,286,0.528976999236235
36,15,90,294,0.504782691176649
37,15,89,288,0.564447941538759
38,15,90,289,0.580479037366404
39,15,90,289,0.546472092074249
40,15,91,294,0.555353321954218
41,15,88,260,0.607802734491505
42,15,86,261,0.588546557284983
43,15,87,261,0.591390730406809
44,15,110,367,0.626253248134833
45,15,92,293,0.628193221250338
46,15,93,256,0.691014922393346
47,15,108,260,0.586744598485204
48,15,108,260,0.570621410423132
49,15,108,260,0.548291765332846
50,15,107,259,0.556904050151299
51,15,74,111,0.747144482897214
52,15,120,283,0.642783560095449
53,15,103,73,0.640445960878702
54,15,87,101,0.697818468336868
55,15,119,61,0.660101626264695
56,15,102,188,0.798992780781957
63,15,61,16,1.04018999777123
64,15,62,18,1.02442395250211
65,15,65,15,1.09385628350742
27,16,43,328,0.290419583919785
28,16,44,319,0.312234184213542
29,16,50,261,0.302609271154354
30,16,44,329,0.318500107703617
31,16,45,316,0.373204873785715
32,16,45,322,0.393653815454213
33,16,47,320,0.440270401337176
34,16,51,237,0.448993246551168
35,16,51,235,0.501656985740595
36,16,90,296,0.49029921794645
37,16,90,290,0.539061462525506
38,16,91,295,0.547760722857703
39,16,90,289,0.559706060382916
40,16,52,282,0.545593466434179
41,16,91,291,0.564365193065756
42,16,91,293,0.564665714483611
43,16,86,262,0.598992819478166
44,16,87,261,0.610492844356916
45,16,110,367,0.632364753070718
46,16,92,293,0.650187037586126
47,16,107,357,0.702995471138813
48,16,108,260,0.588190813547238
49,16,111,370,0.628008517004016
50,16,107,259,0.509677465881561
51,16,105,256,0.627597461487402
52,16,119,281,0.616138784465157
53,16,120,283,0.608117336752527
54,16,119,281,0.584462737371368
55,16,120,61,0.688980971664242
56,16,111,66,0.706381140204624
59,16,59,16,1.19466702925597
61,16,61,16,1.20359803319601
